data_paper_DOI;data_paper_title;dimension;sub-dimension;sub-dimension-requirements;ground_truth
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;Uses;Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";This paper introduces a new mosquito images dataset that is suitable for training and evaluating a recognition system on mosquitoes in normal or smashed conditions. The images dataset served mainly for the development a machine learning model that can recognize the mosquito in the public community, which commonly found in the smashed/damaged form by human
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;Uses;Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"The dataset is recommended to build a MD model to recognize mosquitoes in the public community, specially in the smashed/damaged condition.
It is not recommended it usage in the case of skin tones of American, African, European, and Australian people"
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;Uses;Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";"A pilot test on the dataset has been carried out to validate the quality
of the dataset in terms of the feasibility of deep convolutional neural networks (DCNN) model construction at three learning rates (0.01-0.0001)"
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;S.Q.O. compiled the data, created the first dataset version, and wrote the first version of the manuscript
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The work was partly supported by Ministry of Higher Education Fundamental Research Grant Scheme (FRGS) (FRGS/1/2021/STG03/KDUPG/02/1
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;No explicit information is given about the maintainer, and the dataset policies
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Data accesability;The link where the data can be accesed if its online and open, or the place where the data can be demanded;https://data.mendeley.com/datasets/zw4p9kj6nt/2
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";"The dataset is publicly available in
Mendeley Data. The paper does not specify a specific license for the dataset. The paper is licensed under CC BY 4.0."
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not specified
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;"The image dataset consists of six root files which are raw image data of three mosquito species with two conditions,
respectively, and one data pre-processed file that could serve as an authenticated dataset in recognise
three of the mosquitoes, and subsequently applied by potential user such as machine learning engineer, apps
developer, data scientist, etc."
